# Maltese frequency list derived from Maltese Wikipedia (CC BY-SA) + Tatoeba (CC BY 2.0 FR).
# Ranks are of folded forms (diacritics normalised), so `ġo` and `go` are one.
rank	word	count
362	jinsabu	2182
363	loba	2179
364	qatt	2177
365	gunju	2174
366	gebel	2160
367	lulju	2154
368	be	2151
369	finali	2140
370	ruh	2136
371	xolijiet	2122
372	militari	2116
373	plejer	2115
374	straordinarju	2114
375	ha	2113
376	sinifikanti	2113
377	germanja	2104
378	port	2098
379	baqa	2087
380	aqwa	2085
381	tajjeb	2083
382	spanja	2083
383	lit	2083
384	marzu	2082
385	miet	2073
386	with	2071
387	membru	2067
388	rindirizza	2062
389	en	2056
390	ewlenin	2051
391	amel	2050
392	democratic	2036
393	settembru	2035
394	ax	2030
395	svg	2028
396	politika	2026
397	iskola	2024
398	muzika	2017
399	alla	2015
400	ministru	2013
401	generu	2011
402	bniedem	2001
403	frar	2000
404	tista	1999
405	xaktarx	1994
406	tip	1994
407	hin	1986
408	per	1981
409	jhobb	1969
410	you	1968
411	isbn	1963
412	tnejn	1953
413	arkitettura	1946
414	zoni	1945
415	sahha	1941
416	bis	1936
417	membri	1935
418	grawnd	1935
419	popolari	1934
420	pied	1932
421	komuni	1930
422	kowc	1928
423	jannar	1921
424	binjiet	1920
425	dinjija	1911
426	hawn	1909
427	stess	1903
428	adu	1903
429	godda	1898
430	binja	1893
431	april	1888
432	izvilupp	1886
433	nbsp	1881
434	jidher	1880
435	ewropej	1875
436	gurnata	1873
437	paul	1868
438	dicembru	1858
439	ottubru	1856
440	edukazzjoni	1854
441	function	1852
442	santa	1850
443	spiss	1845
444	afrika	1837
445	kap	1837
446	awwissu	1835
447	divizjoni	1831
448	jum	1828
449	valur	1826
450	lingwi	1824
451	milli	1819
452	jorqod	1819
453	katidral	1817
454	alhekk	1816
455	aliex	1812
456	torri	1812
457	mat	1810
458	national	1809
459	tom	1809
460	taljan	1800
461	fiz	1800
462	tard	1800
463	unika	1797
464	true	1794
465	amerika	1792
466	jamel	1791
467	kunsill	1790
468	ezempju	1787
469	jixu	1786
470	alias	1786
471	blat	1779
472	bdew	1776
473	titlu	1771
474	annimali	1767
475	novembru	1762
476	table	1758
477	cina	1755
478	gruppi	1753
479	kollu	1749
480	rwol	1748
481	inhawi	1747
482	habta	1746
483	do	1746
484	foresti	1745
485	mbaad	1742
486	territorju	1735
487	wied	1733
488	el	1733
489	provincja	1731
490	del	1727
491	lag	1723
492	ewropea	1719
493	kelma	1716
494	sab	1716
495	illum	1715
496	distrett	1708
497	unjoni	1707
498	nisa	1698
499	papa	1674
500	kamra	1668
501	kollox	1662
502	storiku	1657
503	list	1655
504	dahla	1649
505	rapport	1643
506	mewt	1643
507	oli	1639
508	armata	1635
509	injam	1634
510	imbaad	1633
511	attwali	1632
512	punt	1630
513	jara	1626
514	kumpless	1623
515	toroq	1622
516	socjali	1617
517	sitt	1616
518	azla	1601
519	that	1598
520	wiki	1589
521	originali	1587
522	bir	1585
523	sekli	1580
524	xemx	1580
525	twelid	1579
526	hemmhekk	1575
527	stabbilit	1568
528	mietu	1567
529	rd	1567
530	poplu	1566
531	jkunu	1558
532	universali	1557
533	jinkludi	1556
534	pajsagg	1552
535	mara	1547
536	ewlieni	1544
537	clubnat	1544
538	rebah	1543
539	kummercjali	1538
540	kastell	1535
541	caps	1533
542	sigar	1530
543	adha	1528
544	tiei	1528
545	wikipedija	1523
546	mudell	1523
547	diga	1521
548	zira	1520
549	yanni	1520
550	pjanti	1515
551	by	1511
552	maltija	1510
553	category	1509
554	tradizzjonali	1500
555	jilab	1498
556	hitan	1495
557	success	1491
558	abbazi	1490
559	stat	1489
560	partikolari	1482
561	ff	1480
562	bazi	1476
563	ingilterra	1476
564	forma	1476
565	value	1470
566	tamel	1466
567	pagna	1466
568	fatt	1465
569	seba	1462
570	ikel	1461
571	wikimedia	1460
572	hajjin	1459
573	language	1457
574	jigifieri	1456
575	pubbliku	1455
576	title	1455
577	ligi	1453
578	germaniz	1450
579	disinn	1448
580	deheb	1448
581	mw	1447
582	gowl	1441
583	da	1439
584	no	1433
585	persuna	1431
586	qieed	1430
587	utc	1425
588	ilu	1413
589	kienx	1412
590	artijiet	1411
591	dinastija	1410
592	kontroll	1406
593	zir	1402
594	progett	1402
595	partijiet	1396
596	prim	1392
597	simili	1390
598	kont	1389
599	axar	1386
600	tfal	1380
601	template	1380
602	self	1378
603	ahjar	1376
604	qorti	1375
605	eks	1375
606	indipendenza	1374
607	string	1373
608	york	1369
609	sajf	1366
610	llum	1365
611	mamula	1364
612	are	1361
613	specjalment	1360
614	wisq	1359
615	kumpanija	1359
616	iii	1355
617	kriterji	1353
618	parlament	1351
619	russja	1348
620	rumani	1343
621	rjali	1343
622	attendenza	1342
623	ferm	1340
624	festival	1340
625	imur	1339
626	produzzjoni	1339
627	komunita	1337
628	kummerc	1335
629	loob	1335
630	postijiet	1333
631	jintuza	1333
632	klabbs	1331
633	istil	1331
634	will	1329
635	nhar	1328
636	tradizzjoni	1323
637	pozizzjoni	1322
638	qal	1322
639	default	1320
640	referi	1313
641	jahdem	1312
642	servizz	1311
643	sala	1311
644	jix	1308
645	muntanja	1307
646	fdan	1300
647	daqs	1300
648	rebha	1296
649	anke	1292
650	gappun	1290
651	dahal	1289
652	bank	1288
653	kwadru	1285
654	adhom	1281
655	drabi	1280
656	joqod	1278
657	film	1274
658	timijiet	1273
659	rebhu	1272
660	klima	1271
661	xita	1270
662	tinkludi	1267
663	type	1260
664	tmiem	1259
665	trasport	1257
666	teatru	1255
667	socjeta	1254
668	tfisser	1254
669	xejn	1250
670	int	1249
671	fihom	1244
672	premju	1242
673	isir	1241
674	gima	1241
675	uefa	1241
676	asafar	1240
677	wiesa	1240
678	tajba	1236
679	imperatur	1235
680	medja	1235
681	jibqa	1229
682	john	1227
683	left	1226
684	city	1225
685	sew	1223
686	minflok	1222
687	specijiet	1220
688	isqof	1219
689	mixtla	1219
690	arbi	1218
691	kiteb	1216
692	importanza	1216
693	gran	1216
694	enrico	1216
695	bla	1214
696	kompla	1213
697	monumenti	1211
698	politici	1209
699	messiku	1206
700	jamlu	1203
701	civili	1201
702	ewropew	1199
703	saint	1199
704	haga	1197
705	we	1195
706	ricerka	1194
707	ajruport	1194
708	seta	1193
709	sehem	1192
710	page	1191
711	pattern	1191
712	indja	1186
713	skorja	1182
714	kiseb	1181
715	francizi	1180
716	linji	1178
717	nil	1173
718	stabbilita	1171
719	mix	1169
720	ra	1169
721	ruma	1168
722	asja	1164
723	parigi	1161
724	politiku	1158
725	perezempju	1157
726	premier	1157
727	jintuzaw	1156
728	valletta	1155
729	zejt	1155
730	forti	1154
731	access	1151
732	tempji	1151
733	raba	1151
734	zieda	1151
735	xjenza	1150
736	wassal	1150
737	tieek	1148
738	korea	1148
739	quccata	1147
740	laburista	1144
741	malajr	1142
742	forzi	1141
743	generalment	1141
744	press	1141
745	mamul	1138
746	antik	1138
747	union	1138
748	university	1136
749	totali	1135
750	knejjes	1135
751	st	1133
752	kappella	1129
753	hdejn	1127
754	us	1126
755	penizola	1124
756	era	1124
757	sahansitra	1123
758	londra	1121
759	monument	1120
760	can	1120
761	et	1119
762	traduzzjoni	1115
763	djar	1114
764	hsieb	1113
765	qedem	1112
766	izar	1110
767	process	1109
768	inkluzi	1109
769	brazil	1109
770	erien	1108
771	monasteru	1108
772	tmien	1105
773	pjazza	1100
774	eqdem	1099
775	jati	1099
776	organizzazzjoni	1099
777	franciza	1096
778	ruman	1095
779	servizzi	1095
780	eta	1094
781	kotba	1093
782	fazi	1093
783	bzonn	1092
784	oggetti	1085
785	tintuza	1084
786	image	1084
787	andi	1079
788	jitkellem	1075
789	villagg	1075
790	uniku	1074
791	origini	1074
792	xahar	1073
793	jipprova	1070
794	peoples	1070
795	affarijiet	1069
796	ekonomija	1068
797	antika	1068
798	haddiema	1067
799	konservazzjoni	1066
800	first	1058
801	metri	1055
802	xhur	1054
803	world	1053
804	storici	1052
805	originarjament	1052
806	erja	1051
807	awtur	1048
808	natura	1047
809	madrid	1047
810	tant	1044
811	hareg	1043
812	artiklu	1039
813	tmexxija	1039
814	grieg	1039
815	lhud	1039
816	whud	1038
817	karatteristici	1038
818	tkabbir	1038
819	fmalta	1037
820	abitant	1037
821	pitturi	1037
822	imsejha	1034
823	jiehu	1033
824	your	1031
825	moviment	1029
826	style	1028
827	baqet	1026
828	hajt	1026
829	insedjament	1023
830	grazzi	1019
831	awstralja	1019
832	mexxej	1017
833	xlokk	1016
834	istruttura	1014
835	ragel	1012
836	informazzjoni	1011
837	missieru	1011
838	wikipedia	1009
839	kitba	1008
840	ciniz	1008
841	jistax	1007
842	rit	1005
843	else	1003
844	milan	1000
845	amerikan	998
846	twil	997
847	twila	996
848	notevoli	996
849	rebbieha	996
850	specjali	993
851	awstrija	993
852	jiehdu	992
853	elezzjoni	992
854	ambjent	992
855	kanada	992
856	frott	991
857	edizzjoni	990
858	sensiela	990
859	iv	990
860	karriera	990
861	ahmar	988
862	kompetizzjoni	987
863	tmur	986
864	ewlenija	985
865	grecja	985
866	evidenza	977
867	maggoranza	975
868	stati	975
869	out	975
870	des	975
871	set	973
872	influwenza	969
873	amerikani	969
874	snienu	969
875	nazzjonijiet	968
876	muzikali	968
877	barranin	966
878	nbniet	966
879	mammiferi	966
880	xulxin	962
881	bajja	958
882	bood	958
883	energija	958
884	letteratura	957
885	nru	957
886	karozzi	955
887	sas	954
888	istazzjon	950
889	terminu	949
890	villa	948
891	ikunu	947
892	wasal	947
893	sakemm	946
894	jiffurmaw	946
895	regjuni	946
896	nuqqas	946
897	pgd	946
898	kuljum	944
899	gej	942
900	oljiet	942
901	ajnuna	940
902	abjad	940
903	teorija	940
904	gvernatur	939
905	fruntiera	938
906	kumitat	937
907	battalja	936
908	jmur	934
909	uhud	933
910	rizerva	933
911	movement	933
912	industrija	932
913	frame	931
914	message	931
915	rigward	930
916	qabar	927
917	proprjeta	924
918	kanal	922
919	lejl	922
920	baqu	922
921	teknologija	922
922	regjonali	921
923	xmajjar	916
924	indipendenti	914
925	assocjazzjoni	914
